,EZB Leitzins,HICP,Output Gap
2001-12,3.25,2.1,"2.0126274	"
2002-01,3.25,2.6,
2002-02,3.25,2.5,
2002-03,3.25,2.5,
2002-04,3.25,2.4,
2002-05,3.25,2.1,
2002-06,3.25,1.9,
2002-07,3.25,2.0,
2002-08,3.25,2.2,
2002-09,3.25,2.1,
2002-10,3.25,2.3,
2002-11,3.25,2.3,
2002-12,2.75,2.3,0.9720772
2003-01,2.75,2.2,
2003-02,2.75,2.4,
2003-03,2.5,2.4,
2003-04,2.5,2.1,
2003-05,2.5,1.9,
2003-06,2,2.0,
2003-07,2,2.0,
2003-08,2,2.1,
2003-09,2,2.2,
2003-10,2,2.1,
2003-11,2,2.2,
2003-12,2,2.0,-0.1937723
2004-01,2,1.8,
2004-02,2,1.7,
2004-03,2,1.7,
2004-04,2,2.1,
2004-05,2,2.5,
2004-06,2,2.4,
2004-07,2,2.3,
2004-08,2,2.4,
2004-09,2,2.2,
2004-10,2,2.4,
2004-11,2,2.3,
2004-12,2,2.3,0.1932646
2005-01,2,1.9,
2005-02,2,2.1,
2005-03,2,2.2,
2005-04,2,2.1,
2005-05,2,2.0,
2005-06,2,2.0,
2005-07,2,2.1,
2005-08,2,2.2,
2005-09,2,2.6,
2005-10,2,2.5,
2005-11,2,2.3,
2005-12,2.25,2.3,0.1665071
2006-01,2.25,2.5,
2006-02,2.25,2.4,
2006-03,2.5,2.2,
2006-04,2.5,2.5,
2006-05,2.5,2.5,
2006-06,2.75,2.5,
2006-07,2.75,2.5,
2006-08,3,2.3,
2006-09,3,1.8,
2006-10,3.25,1.6,
2006-11,3.25,1.9,
2006-12,3.5,1.9,1.6145904
2007-01,3.5,1.9,
2007-02,3.5,1.9,
2007-03,3.75,2.0,
2007-04,3.75,1.9,
2007-05,3.75,1.9,
2007-06,4,1.9,
2007-07,4,1.8,
2007-08,4,1.8,
2007-09,4,2.2,
2007-10,4,2.6,
2007-11,4,3.1,
2007-12,4,3.1,2.7635253
2008-01,4,3.3,
2008-02,4,3.3,
2008-03,4,3.7,
2008-04,4,3.3,
2008-05,4,3.8,
2008-06,4,4.1,
2008-07,4.25,4.2,
2008-08,4.25,3.9,
2008-09,4.25,3.7,
2008-10,3.75,3.2,
2008-11,3.25,2.2,
2008-12,2.5,1.7,1.6686648
2009-01,2,1.2,
2009-02,2,1.3,
2009-03,1.5,0.6,
2009-04,1.25,0.7,
2009-05,1,0.1,
2009-06,1,-0.1,
2009-07,1,-0.6,
2009-08,1,-0.1,
2009-09,1,-0.3,
2009-10,1,-0.1,
2009-11,1,0.5,
2009-12,1,0.9,-3.6094933
2010-01,1,0.9,
2010-02,1,0.8,
2010-03,1,1.6,
2010-04,1,1.6,
2010-05,1,1.7,
2010-06,1,1.5,
2010-07,1,1.7,
2010-08,1,1.6,
2010-09,1,1.9,
2010-10,1,1.9,
2010-11,1,1.9,
2010-12,1,2.2,-2.1903906
2011-01,1,2.3,
2011-02,1,2.4,
2011-03,1,2.7,
2011-04,1.25,2.8,
2011-05,1.25,2.7,
2011-06,1.25,2.7,
2011-07,1.5,2.6,
2011-08,1.5,2.6,
2011-09,1.5,3.0,
2011-10,1.5,3.0,
2011-11,1.25,3.0,
2011-12,1,2.8,-1.167711
2012-01,1,2.6,
2012-02,1,2.7,
2012-03,1,2.7,
2012-04,1,2.6,
2012-05,1,2.4,
2012-06,1,2.4,
2012-07,0.75,2.4,
2012-08,0.75,2.6,
2012-09,0.75,2.6,
2012-10,0.75,2.5,
2012-11,0.75,2.2,
2012-12,0.75,2.2,-2.6362181
2013-01,0.75,2.0,
2013-02,0.75,1.9,
2013-03,0.75,1.7,
2013-04,0.75,1.2,
2013-05,0.5,1.4,
2013-06,0.5,1.6,
2013-07,0.5,1.6,
2013-08,0.5,1.3,
2013-09,0.5,1.1,
2013-10,0.5,0.7,
2013-11,0.25,0.9,
2013-12,0.25,0.8,-3.3865582
2014-01,0.25,0.8,
2014-02,0.25,0.7,
2014-03,0.25,0.5,
2014-04,0.25,0.7,
2014-05,0.25,0.5,
2014-06,0.15,0.5,
2014-07,0.15,0.4,
2014-08,0.15,0.4,
2014-09,0.05,0.3,
2014-10,0.05,0.4,
2014-11,0.05,0.3,
2014-12,0.05,-0.2,-2.7082612
2015-01,0.05,-0.6,
2015-02,0.05,-0.3,
2015-03,0.05,-0.1,
2015-04,0.05,0.2,
2015-05,0.05,0.6,
2015-06,0.05,0.5,
2015-07,0.05,0.5,
2015-08,0.05,0.4,
2015-09,0.05,0.2,
2015-10,0.05,0.4,
2015-11,0.05,0.1,
2015-12,0.05,0.3,-1.9217214
2016-01,0.05,0.3,
2016-02,0.05,-0.1,
2016-03,0,0.0,
2016-04,0,-0.3,
2016-05,0,-0.1,
2016-06,0,0.0,
2016-07,0,0.2,
2016-08,0,0.2,
2016-09,0,0.4,
2016-10,0,0.5,
2016-11,0,0.6,
2016-12,0,1.1,-1.1099808
2017-01,0,1.7,
2017-02,0,2.0,
2017-03,0,1.5,
2017-04,0,1.9,
2017-05,0,1.4,
2017-06,0,1.3,
2017-07,0,1.3,
2017-08,0,1.5,
2017-09,0,1.6,
2017-10,0,1.4,
2017-11,0,1.5,
2017-12,0,1.3,0.2050355
2018-01,0,1.3,
2018-02,0,1.1,
2018-03,0,1.4,
2018-04,0,1.2,
2018-05,0,2.0,
2018-06,0,2.0,
2018-07,0,2.2,
2018-08,0,2.1,
2018-09,0,2.1,
2018-10,0,2.3,
2018-11,0,1.9,
2018-12,0,1.5,0.6253012
2019-01,0,1.4,
2019-02,0,1.5,
2019-03,0,1.4,
2019-04,0,1.7,
2019-05,0,1.2,
2019-06,0,1.3,
2019-07,0,1.0,
2019-08,0,1.0,
2019-09,0,0.8,
2019-10,0,0.7,
2019-11,0,1.0,
2019-12,0,1.3,0.9626208
2020-01,0,1.4,
2020-02,0,1.2,
2020-03,0,0.7,
2020-04,0,0.3,
2020-05,0,0.1,
2020-06,0,0.3,
2020-07,0,0.4,
2020-08,0,-0.2,
2020-09,0,-0.3,
2020-10,0,-0.3,
2020-11,0,-0.3,
2020-12,0,-0.3,-6.0522671
2021-01,0,0.9,
2021-02,0,0.9,
2021-03,0,1.3,
2021-04,0,1.6,
2021-05,0,2.0,
2021-06,0,1.9,
2021-07,0,2.2,
2021-08,0,3.0,
2021-09,0,3.4,
2021-10,0,4.1,
2021-11,0,4.9,
2021-12,0,5.0,-1.0829099
2022-01,0,5.1,
2022-02,0,5.9,
2022-03,0,7.4,
2022-04,0,7.5,
2022-05,0,8.1,
2022-06,0,8.7,
2022-07,0.5,8.9,
2022-08,0.5,9.2,
2022-09,1.25,9.9,
2022-10,1.25,10.6,
2022-11,2,10.1,
2022-12,2.5,9.2,1.0619824
2023-01,2.5,8.7,
2023-02,3,8.5,
2023-03,3.5,6.9,
2023-04,3.5,7.0,
2023-05,3.75,6.1,
2023-06,4,5.5,
2023-07,4,5.3,
2023-08,4.25,5.2,
2023-09,4.5,4.3,
2023-10,4.5,2.9,
2023-11,4.5,2.4,
2023-12,4.5,2.9,0.0364572
2024-01,4.5,2.8,
2024-02,4.5,2.6,
2024-03,4.5,2.4,
2024-04,4.5,2.4,
2024-05,4.5,2.6,
2024-06,4.25,2.5,
2024-07,4.25,2.6,
2024-08,4.25,2.2,
2024-09,3.65,1.7,
2024-10,3.4,2.0,
2024-11,3.4,2.2,
2024-12,3.15,2.4,-0.4764475
2025-01,3.15,2.5,
2025-02,2.9,2.3,
2025-03,2.65,2.2,
2025-04,2.4,2.2,
2025-05,2.4,1.9,
