"datum","ezb_leitzins","hicp_inflation","ziel_inflation","inflationsabweichung","output_gap"
2001-12-01,3.25,2.1,2,0.1,2.126274
2002-01-01,3.25,2.6,2,0.6,2.03009093333333
2002-02-01,3.25,2.5,2,0.5,1.93390786666667
2002-03-01,3.25,2.5,2,0.5,1.8377248
2002-04-01,3.25,2.4,2,0.4,1.74154173333333
2002-05-01,3.25,2.1,2,0.1,1.64535866666667
2002-06-01,3.25,1.9,2,-0.1,1.5491756
2002-07-01,3.25,2,2,0,1.45299253333333
2002-08-01,3.25,2.2,2,0.2,1.35680946666667
2002-09-01,3.25,2.1,2,0.1,1.2606264
2002-10-01,3.25,2.3,2,0.3,1.16444333333333
2002-11-01,3.25,2.3,2,0.3,1.06826026666667
2002-12-01,2.75,2.3,2,0.3,0.9720772
2003-01-01,2.75,2.2,2,0.2,0.874923075
2003-02-01,2.75,2.4,2,0.4,0.77776895
2003-03-01,2.5,2.4,2,0.4,0.680614825
2003-04-01,2.5,2.1,2,0.1,0.5834607
2003-05-01,2.5,1.9,2,-0.1,0.486306575
2003-06-01,2,2,2,0,0.38915245
2003-07-01,2,2,2,0,0.291998325
2003-08-01,2,2.1,2,0.1,0.1948442
2003-09-01,2,2.2,2,0.2,0.097690075
2003-10-01,2,2.1,2,0.1,0.000535949999999952
2003-11-01,2,2.2,2,0.2,-0.0966181749999999
2003-12-01,2,2,2,0,-0.1937723
2004-01-01,2,1.8,2,-0.2,-0.161519225
2004-02-01,2,1.7,2,-0.3,-0.12926615
2004-03-01,2,1.7,2,-0.3,-0.097013075
2004-04-01,2,2.1,2,0.1,-0.06476
2004-05-01,2,2.5,2,0.5,-0.032506925
2004-06-01,2,2.4,2,0.4,-0.00025385
2004-07-01,2,2.3,2,0.3,0.031999225
2004-08-01,2,2.4,2,0.4,0.0642523
2004-09-01,2,2.2,2,0.2,0.096505375
2004-10-01,2,2.4,2,0.4,0.12875845
2004-11-01,2,2.3,2,0.3,0.161011525
2004-12-01,2,2.3,2,0.3,0.1932646
2005-01-01,2,1.9,2,-0.1,0.191034808333333
2005-02-01,2,2.1,2,0.1,0.188805016666667
2005-03-01,2,2.2,2,0.2,0.186575225
2005-04-01,2,2.1,2,0.1,0.184345433333333
2005-05-01,2,2,2,0,0.182115641666667
2005-06-01,2,2,2,0,0.17988585
2005-07-01,2,2.1,2,0.1,0.177656058333333
2005-08-01,2,2.2,2,0.2,0.175426266666667
2005-09-01,2,2.6,2,0.6,0.173196475
2005-10-01,2,2.5,2,0.5,0.170966683333333
2005-11-01,2,2.3,2,0.3,0.168736891666667
2005-12-01,2.25,2.3,2,0.3,0.1665071
2006-01-01,2.25,2.5,2,0.5,0.287180708333333
2006-02-01,2.25,2.4,2,0.4,0.407854316666667
2006-03-01,2.5,2.2,2,0.2,0.528527925
2006-04-01,2.5,2.5,2,0.5,0.649201533333333
2006-05-01,2.5,2.5,2,0.5,0.769875141666667
2006-06-01,2.75,2.5,2,0.5,0.89054875
2006-07-01,2.75,2.5,2,0.5,1.01122235833333
2006-08-01,3,2.3,2,0.3,1.13189596666667
2006-09-01,3,1.8,2,-0.2,1.252569575
2006-10-01,3.25,1.6,2,-0.4,1.37324318333333
2006-11-01,3.25,1.9,2,-0.1,1.49391679166667
2006-12-01,3.5,1.9,2,-0.1,1.6145904
2007-01-01,3.5,1.9,2,-0.1,1.710334975
2007-02-01,3.5,1.9,2,-0.1,1.80607955
2007-03-01,3.75,2,2,0,1.901824125
2007-04-01,3.75,1.9,2,-0.1,1.9975687
2007-05-01,3.75,1.9,2,-0.1,2.093313275
2007-06-01,4,1.9,2,-0.1,2.18905785
2007-07-01,4,1.8,2,-0.2,2.284802425
2007-08-01,4,1.8,2,-0.2,2.380547
2007-09-01,4,2.2,2,0.2,2.476291575
2007-10-01,4,2.6,2,0.6,2.57203615
2007-11-01,4,3.1,2,1.1,2.667780725
2007-12-01,4,3.1,2,1.1,2.7635253
2008-01-01,4,3.3,2,1.3,2.672286925
2008-02-01,4,3.3,2,1.3,2.58104855
2008-03-01,4,3.7,2,1.7,2.489810175
2008-04-01,4,3.3,2,1.3,2.3985718
2008-05-01,4,3.8,2,1.8,2.307333425
2008-06-01,4,4.1,2,2.1,2.21609505
2008-07-01,4.25,4.2,2,2.2,2.124856675
2008-08-01,4.25,3.9,2,1.9,2.0336183
2008-09-01,4.25,3.7,2,1.7,1.942379925
2008-10-01,3.75,3.2,2,1.2,1.85114155
2008-11-01,3.25,2.2,2,0.2,1.759903175
2008-12-01,2.5,1.7,2,-0.3,1.6686648
2009-01-01,2,1.2,2,-0.8,1.22881829166667
2009-02-01,2,1.3,2,-0.7,0.788971783333333
2009-03-01,1.5,0.6,2,-1.4,0.349125275
2009-04-01,1.25,0.7,2,-1.3,-0.0907212333333332
2009-05-01,1,0.1,2,-1.9,-0.530567741666667
2009-06-01,1,-0.1,2,-2.1,-0.97041425
2009-07-01,1,-0.6,2,-2.6,-1.41026075833333
2009-08-01,1,-0.1,2,-2.1,-1.85010726666667
2009-09-01,1,-0.3,2,-2.3,-2.289953775
2009-10-01,1,-0.1,2,-2.1,-2.72980028333333
2009-11-01,1,0.5,2,-1.5,-3.16964679166667
2009-12-01,1,0.9,2,-1.1,-3.6094933
2010-01-01,1,0.9,2,-1.1,-3.49123474166667
2010-02-01,1,0.8,2,-1.2,-3.37297618333333
2010-03-01,1,1.6,2,-0.4,-3.254717625
2010-04-01,1,1.6,2,-0.4,-3.13645906666667
2010-05-01,1,1.7,2,-0.3,-3.01820050833333
2010-06-01,1,1.5,2,-0.5,-2.89994195
2010-07-01,1,1.7,2,-0.3,-2.78168339166667
2010-08-01,1,1.6,2,-0.4,-2.66342483333333
2010-09-01,1,1.9,2,-0.1,-2.545166275
2010-10-01,1,1.9,2,-0.1,-2.42690771666667
2010-11-01,1,1.9,2,-0.1,-2.30864915833333
2010-12-01,1,2.2,2,0.2,-2.1903906
2011-01-01,1,2.3,2,0.3,-2.1051673
2011-02-01,1,2.4,2,0.4,-2.019944
2011-03-01,1,2.7,2,0.7,-1.9347207
2011-04-01,1.25,2.8,2,0.8,-1.8494974
2011-05-01,1.25,2.7,2,0.7,-1.7642741
2011-06-01,1.25,2.7,2,0.7,-1.6790508
2011-07-01,1.5,2.6,2,0.6,-1.5938275
2011-08-01,1.5,2.6,2,0.6,-1.5086042
2011-09-01,1.5,3,2,1,-1.4233809
2011-10-01,1.5,3,2,1,-1.3381576
2011-11-01,1.25,3,2,1,-1.2529343
2011-12-01,1,2.8,2,0.8,-1.167711
2012-01-01,1,2.6,2,0.6,-1.29008659166667
2012-02-01,1,2.7,2,0.7,-1.41246218333333
2012-03-01,1,2.7,2,0.7,-1.534837775
2012-04-01,1,2.6,2,0.6,-1.65721336666667
2012-05-01,1,2.4,2,0.4,-1.77958895833333
2012-06-01,1,2.4,2,0.4,-1.90196455
2012-07-01,0.75,2.4,2,0.4,-2.02434014166667
2012-08-01,0.75,2.6,2,0.6,-2.14671573333333
2012-09-01,0.75,2.6,2,0.6,-2.269091325
2012-10-01,0.75,2.5,2,0.5,-2.39146691666667
2012-11-01,0.75,2.2,2,0.2,-2.51384250833333
2012-12-01,0.75,2.2,2,0.2,-2.6362181
2013-01-01,0.75,2,2,0,-2.69874644166667
2013-02-01,0.75,1.9,2,-0.1,-2.76127478333333
2013-03-01,0.75,1.7,2,-0.3,-2.823803125
2013-04-01,0.75,1.2,2,-0.8,-2.88633146666667
2013-05-01,0.5,1.4,2,-0.6,-2.94885980833333
2013-06-01,0.5,1.6,2,-0.4,-3.01138815
2013-07-01,0.5,1.6,2,-0.4,-3.07391649166667
2013-08-01,0.5,1.3,2,-0.7,-3.13644483333333
2013-09-01,0.5,1.1,2,-0.9,-3.198973175
2013-10-01,0.5,0.7,2,-1.3,-3.26150151666667
2013-11-01,0.25,0.9,2,-1.1,-3.32402985833333
2013-12-01,0.25,0.8,2,-1.2,-3.3865582
2014-01-01,0.25,0.8,2,-1.2,-3.33003345
2014-02-01,0.25,0.7,2,-1.3,-3.2735087
2014-03-01,0.25,0.5,2,-1.5,-3.21698395
2014-04-01,0.25,0.7,2,-1.3,-3.1604592
2014-05-01,0.25,0.5,2,-1.5,-3.10393445
2014-06-01,0.15,0.5,2,-1.5,-3.0474097
2014-07-01,0.15,0.4,2,-1.6,-2.99088495
2014-08-01,0.15,0.4,2,-1.6,-2.9343602
2014-09-01,0.05,0.3,2,-1.7,-2.87783545
2014-10-01,0.05,0.4,2,-1.6,-2.8213107
2014-11-01,0.05,0.3,2,-1.7,-2.76478595
2014-12-01,0.05,-0.2,2,-2.2,-2.7082612
2015-01-01,0.05,-0.6,2,-2.6,-2.64271621666667
2015-02-01,0.05,-0.3,2,-2.3,-2.57717123333333
2015-03-01,0.05,-0.1,2,-2.1,-2.51162625
2015-04-01,0.05,0.2,2,-1.8,-2.44608126666667
2015-05-01,0.05,0.6,2,-1.4,-2.38053628333333
2015-06-01,0.05,0.5,2,-1.5,-2.3149913
2015-07-01,0.05,0.5,2,-1.5,-2.24944631666667
2015-08-01,0.05,0.4,2,-1.6,-2.18390133333333
2015-09-01,0.05,0.2,2,-1.8,-2.11835635
2015-10-01,0.05,0.4,2,-1.6,-2.05281136666667
2015-11-01,0.05,0.1,2,-1.9,-1.98726638333333
2015-12-01,0.05,0.3,2,-1.7,-1.9217214
2016-01-01,0.05,0.3,2,-1.7,-1.85407635
2016-02-01,0.05,-0.1,2,-2.1,-1.7864313
2016-03-01,0,0,2,-2,-1.71878625
2016-04-01,0,-0.3,2,-2.3,-1.6511412
2016-05-01,0,-0.1,2,-2.1,-1.58349615
2016-06-01,0,0,2,-2,-1.5158511
2016-07-01,0,0.2,2,-1.8,-1.44820605
2016-08-01,0,0.2,2,-1.8,-1.380561
2016-09-01,0,0.4,2,-1.6,-1.31291595
2016-10-01,0,0.5,2,-1.5,-1.2452709
2016-11-01,0,0.6,2,-1.4,-1.17762585
2016-12-01,0,1.1,2,-0.9,-1.1099808
2017-01-01,0,1.7,2,-0.3,-1.00039610833333
2017-02-01,0,2,2,0,-0.890811416666667
2017-03-01,0,1.5,2,-0.5,-0.781226725
2017-04-01,0,1.9,2,-0.1,-0.671642033333333
2017-05-01,0,1.4,2,-0.6,-0.562057341666667
2017-06-01,0,1.3,2,-0.7,-0.45247265
2017-07-01,0,1.3,2,-0.7,-0.342887958333333
2017-08-01,0,1.5,2,-0.5,-0.233303266666667
2017-09-01,0,1.6,2,-0.4,-0.123718575
2017-10-01,0,1.4,2,-0.6,-0.0141338833333333
2017-11-01,0,1.5,2,-0.5,0.0954508083333332
2017-12-01,0,1.3,2,-0.7,0.2050355
2018-01-01,0,1.3,2,-0.7,0.240057641666667
2018-02-01,0,1.1,2,-0.9,0.275079783333333
2018-03-01,0,1.4,2,-0.6,0.310101925
2018-04-01,0,1.2,2,-0.8,0.345124066666667
2018-05-01,0,2,2,0,0.380146208333333
2018-06-01,0,2,2,0,0.41516835
2018-07-01,0,2.2,2,0.2,0.450190491666667
2018-08-01,0,2.1,2,0.1,0.485212633333333
2018-09-01,0,2.1,2,0.1,0.520234775
2018-10-01,0,2.3,2,0.3,0.555256916666667
2018-11-01,0,1.9,2,-0.1,0.590279058333333
2018-12-01,0,1.5,2,-0.5,0.6253012
2019-01-01,0,1.4,2,-0.6,0.653411166666667
2019-02-01,0,1.5,2,-0.5,0.681521133333333
2019-03-01,0,1.4,2,-0.6,0.7096311
2019-04-01,0,1.7,2,-0.3,0.737741066666667
2019-05-01,0,1.2,2,-0.8,0.765851033333333
2019-06-01,0,1.3,2,-0.7,0.793961
2019-07-01,0,1,2,-1,0.822070966666667
2019-08-01,0,1,2,-1,0.850180933333333
2019-09-01,0,0.8,2,-1.2,0.8782909
2019-10-01,0,0.7,2,-1.3,0.906400866666667
2019-11-01,0,1,2,-1,0.934510833333333
2019-12-01,0,1.3,2,-0.7,0.9626208
2020-01-01,0,1.4,2,-0.6,0.378046808333333
2020-02-01,0,1.2,2,-0.8,-0.206527183333333
2020-03-01,0,0.7,2,-1.3,-0.791101175
2020-04-01,0,0.3,2,-1.7,-1.37567516666667
2020-05-01,0,0.1,2,-1.9,-1.96024915833333
2020-06-01,0,0.3,2,-1.7,-2.54482315
2020-07-01,0,0.4,2,-1.6,-3.12939714166667
2020-08-01,0,-0.2,2,-2.2,-3.71397113333333
2020-09-01,0,-0.3,2,-2.3,-4.298545125
2020-10-01,0,-0.3,2,-2.3,-4.88311911666667
2020-11-01,0,-0.3,2,-2.3,-5.46769310833333
2020-12-01,0,-0.3,2,-2.3,-6.0522671
2021-01-01,0,0.9,2,-1.1,-5.638154
2021-02-01,0,0.9,2,-1.1,-5.2240409
2021-03-01,0,1.3,2,-0.7,-4.8099278
2021-04-01,0,1.6,2,-0.4,-4.3958147
2021-05-01,0,2,2,0,-3.9817016
2021-06-01,0,1.9,2,-0.1,-3.5675885
2021-07-01,0,2.2,2,0.2,-3.1534754
2021-08-01,0,3,2,1,-2.7393623
2021-09-01,0,3.4,2,1.4,-2.3252492
2021-10-01,0,4.1,2,2.1,-1.9111361
2021-11-01,0,4.9,2,2.9,-1.497023
2021-12-01,0,5,2,3,-1.0829099
2022-01-01,0,5.1,2,3.1,-0.904168875
2022-02-01,0,5.9,2,3.9,-0.72542785
2022-03-01,0,7.4,2,5.4,-0.546686825
2022-04-01,0,7.5,2,5.5,-0.3679458
2022-05-01,0,8.1,2,6.1,-0.189204775
2022-06-01,0,8.7,2,6.7,-0.01046375
2022-07-01,0.5,8.9,2,6.9,0.168277275
2022-08-01,0.5,9.2,2,7.2,0.3470183
2022-09-01,1.25,9.9,2,7.9,0.525759325
2022-10-01,1.25,10.6,2,8.6,0.70450035
2022-11-01,2,10.1,2,8.1,0.883241375
2022-12-01,2.5,9.2,2,7.2,1.0619824
2023-01-01,2.5,8.7,2,6.7,0.976521966666667
2023-02-01,3,8.5,2,6.5,0.891061533333333
2023-03-01,3.5,6.9,2,4.9,0.8056011
2023-04-01,3.5,7,2,5,0.720140666666667
2023-05-01,3.75,6.1,2,4.1,0.634680233333333
2023-06-01,4,5.5,2,3.5,0.5492198
2023-07-01,4,5.3,2,3.3,0.463759366666667
2023-08-01,4.25,5.2,2,3.2,0.378298933333333
2023-09-01,4.5,4.3,2,2.3,0.2928385
2023-10-01,4.5,2.9,2,0.9,0.207378066666667
2023-11-01,4.5,2.4,2,0.4,0.121917633333333
2023-12-01,4.5,2.9,2,0.9,0.0364572
2024-01-01,4.5,2.8,2,0.8,-0.00628485833333333
2024-02-01,4.5,2.6,2,0.6,-0.0490269166666667
2024-03-01,4.5,2.4,2,0.4,-0.091768975
2024-04-01,4.5,2.4,2,0.4,-0.134511033333333
2024-05-01,4.5,2.6,2,0.6,-0.177253091666667
2024-06-01,4.25,2.5,2,0.5,-0.21999515
2024-07-01,4.25,2.6,2,0.6,-0.262737208333333
2024-08-01,4.25,2.2,2,0.2,-0.305479266666667
2024-09-01,3.65,1.7,2,-0.3,-0.348221325
2024-10-01,3.4,2,2,0,-0.390963383333333
2024-11-01,3.4,2.2,2,0.2,-0.433705441666667
2024-12-01,3.15,2.4,2,0.4,-0.4764475
2025-01-01,3.15,2.5,2,0.5,NA
2025-02-01,2.9,2.3,2,0.3,NA
2025-03-01,2.65,2.2,2,0.2,NA
2025-04-01,2.4,2.2,2,0.2,NA
2025-05-01,2.4,1.9,2,-0.1,NA
